68p_range,
X,Y
14.419469026548672,33.606951871657756
14.43008849557522,33.6283422459893
14.440707964601769,33.66042780748663
14.453982300884954,33.69251336898396
14.467256637168141,33.724598930481285
14.480530973451327,33.76737967914438
14.493805309734512,33.79946524064171
14.504424778761061,33.85294117647059
14.51504424778761,33.89572192513369
14.528318584070796,33.94919786096256
14.541592920353981,34.00267379679144
14.554867256637166,34.06684491978609
14.565486725663716,34.1096256684492
14.578761061946901,34.163101604278076
14.58938053097345,34.205882352941174
14.602654867256636,34.25935828877005
14.613274336283185,34.30213903743316
14.62654867256637,34.35561497326203
14.63716814159292,34.398395721925134
14.647787610619469,34.44117647058823
14.661061946902654,34.49465240641711
14.67433628318584,34.54812834224599
14.684955752212389,34.59090909090909
14.698230088495574,34.644385026737964
14.71150442477876,34.69786096256684
14.724778761061946,34.75133689839572
14.735398230088494,34.794117647058826
14.748672566371681,34.8475935828877
14.761946902654866,34.8903743315508
14.772566371681416,34.9331550802139
14.785840707964601,34.98663101604278
14.799115044247786,35.029411764705884
14.812389380530972,35.07219251336898
14.823008849557521,35.11497326203209
14.836283185840706,35.157754010695186
14.849557522123893,35.20053475935829
14.862831858407079,35.24331550802139
14.878761061946902,35.275401069518715
14.892035398230087,35.30748663101604
14.90796460176991,35.32887700534759
14.926548672566371,35.36096256684492
14.939823008849556,35.38235294117647
14.95575221238938,35.4144385026738
14.969026548672565,35.43582887700535
14.987610619469026,35.467914438502675
15.003539823008849,35.48930481283423
15.019469026548672,35.52139037433155
15.035398230088495,35.5427807486631
15.053982300884954,35.57486631016043
15.075221238938052,35.606951871657756
15.093805309734512,35.63903743315508
15.109734513274335,35.66042780748663
15.123008849557522,35.68181818181818
15.138938053097345,35.713903743315505
15.157522123893804,35.74598930481283
15.176106194690265,35.76737967914438
15.18938053097345,35.79946524064171
15.20796460176991,35.79946524064171
15.20796460176991,35.713903743315505
15.20796460176991,35.5427807486631
15.181415929203538,35.5
15.165486725663715,35.47860962566845
15.146902654867255,35.44652406417112
15.125663716814158,35.4144385026738
15.112389380530972,35.38235294117647
15.099115044247787,35.350267379679146
15.083185840707964,35.31818181818182
15.067256637168141,35.286096256684495
15.053982300884954,35.25401069518716
15.040707964601769,35.22192513368984
15.024778761061945,35.17914438502674
15.01150442477876,35.157754010695186
14.998230088495575,35.12566844919786
14.982300884955752,35.08288770053476
14.966371681415929,35.04010695187166
14.953097345132742,35.00802139037433
14.937168141592919,34.975935828877006
14.921238938053095,34.9331550802139
14.905309734513274,34.8903743315508
14.892035398230087,34.85828877005348
14.884070796460176,34.82620320855615
14.87079646017699,34.794117647058826
14.86017699115044,34.75133689839572
14.846902654867256,34.719251336898395
14.838938053097344,34.68716577540107
14.828318584070795,34.655080213903744
14.81504424778761,34.62299465240642
14.807079646017698,34.59090909090909
14.793805309734513,34.55882352941176
14.783185840707963,34.526737967914436
14.772566371681416,34.49465240641711
14.761946902654866,34.462566844919785
14.751327433628317,34.43048128342246
14.74070796460177,34.398395721925134
14.727433628318582,34.35561497326203
14.71150442477876,34.31283422459893
14.698230088495574,34.27005347593583
14.684955752212389,34.2379679144385
14.671681415929202,34.1951871657754
14.658407079646016,34.152406417112296
14.647787610619469,34.12032085561497
14.63716814159292,34.088235294117645
14.62654867256637,34.05614973262032
14.615929203539823,34.024064171122994
14.607964601769911,33.99197860962567
14.597345132743362,33.95989304812834
14.586725663716813,33.92780748663102
14.576106194690265,33.88502673796791
14.565486725663716,33.85294117647059
14.549557522123893,33.81016042780749
14.538938053097345,33.76737967914438
14.525663716814158,33.724598930481285
14.509734513274335,33.68181818181818
14.499115044247787,33.63903743315508
14.488495575221238,33.596256684491976
14.477876106194689,33.56417112299465
14.467256637168141,33.532085561497325
14.453982300884954,33.5
14.419469026548672,33.5
